2. Zeile und 72.Spalte, Wert:31662.025676869514
2. Zeile und 73.Spalte, Wert:31759.842941588588
2. Zeile und 74.Spalte, Wert:31657.807308563235
2. Zeile und 75.Spalte, Wert:31630.598463625618
2. Zeile und 76.Spalte, Wert:31842.763515895593
2. Zeile und 77.Spalte, Wert:31639.6022571075
2. Zeile und 78.Spalte, Wert:31873.10030328831
2. Zeile und 79.Spalte, Wert:32266.12553566765
2. Zeile und 80.Spalte, Wert:31658.576202858603
2. Zeile und 81.Spalte, Wert:31866.794553625194
2. Zeile und 82.Spalte, Wert:31994.42224600924
2. Zeile und 83.Spalte, Wert:32240.054307293638
2. Zeile und 84.Spalte, Wert:31862.941622181483
2. Zeile und 85.Spalte, Wert:31798.21298383373
2. Zeile und 86.Spalte, Wert:31938.539222721854
2. Zeile und 87.Spalte, Wert:32116.468242699357
2. Zeile und 88.Spalte, Wert:32006.708282574837
2. Zeile und 89.Spalte, Wert:31697.85393535995
2. Zeile und 90.Spalte, Wert:31727.446044101587
2. Zeile und 91.Spalte, Wert:31754.550078942895
2. Zeile und 92.Spalte, Wert:31773.918044416678
2. Zeile und 93.Spalte, Wert:31788.711060791655
2. Zeile und 94.Spalte, Wert:31921.95367938935
2. Zeile und 95.Spalte, Wert:31935.605209948415
2. Zeile und 96.Spalte, Wert:31712.87251177245
2. Zeile und 97.Spalte, Wert:31865.182490488012
2. Zeile und 98.Spalte, Wert:31967.127181251075
2. Zeile und 99.Spalte, Wert:31686.69493263659
2. Zeile und 100.Spalte, Wert:31979.340708868614
3. Zeile und 0.Spalte, Wert:31601.74378778645
3. Zeile und 1.Spalte, Wert:31934.35874052673
3. Zeile und 2.Spalte, Wert:32094.787331380237
3. Zeile und 3.Spalte, Wert:32091.086986496914
3. Zeile und 4.Spalte, Wert:31760.999440115527
3. Zeile und 5.Spalte, Wert:32067.471138762223
3. Zeile und 6.Spalte, Wert:32009.18182972583
3. Zeile und 7.Spalte, Wert:32014.198213055042
3. Zeile und 8.Spalte, Wert:32210.22441091885
3. Zeile und 9.Spalte, Wert:31849.230621398674
3. Zeile und 10.Spalte, Wert:31963.790238075882
3. Zeile und 11.Spalte, Wert:31767.736862566595
3. Zeile und 12.Spalte, Wert:32125.979132216824
3. Zeile und 13.Spalte, Wert:32248.542062283435
3. Zeile und 14.Spalte, Wert:31713.594618831856
3. Zeile und 15.Spalte, Wert:31697.982778420628
3. Zeile und 16.Spalte, Wert:31996.06530098079
3. Zeile und 17.Spalte, Wert:32360.985327585695
3. Zeile und 18.Spalte, Wert:31795.49007066059
3. Zeile und 19.Spalte, Wert:32218.314862220675
3. Zeile und 20.Spalte, Wert:32324.225591280618
3. Zeile und 21.Spalte, Wert:31815.358241703696
3. Zeile und 22.Spalte, Wert:31695.191267968992
3. Zeile und 23.Spalte, Wert:31803.918618812393
3. Zeile und 24.Spalte, Wert:32157.779807769595
3. Zeile und 25.Spalte, Wert:32175.558369445553
3. Zeile und 26.Spalte, Wert:31937.948962553015
3. Zeile und 27.Spalte, Wert:32316.48381035976
3. Zeile und 28.Spalte, Wert:32190.50591219806
3. Zeile und 29.Spalte, Wert:32888.29688121573
3. Zeile und 30.Spalte, Wert:31628.61615413722
3. Zeile und 31.Spalte, Wert:32022.659170105813
3. Zeile und 32.Spalte, Wert:31745.34285171018
3. Zeile und 33.Spalte, Wert:31684.27458828394
3. Zeile und 34.Spalte, Wert:31706.685101403957
3. Zeile und 35.Spalte, Wert:32049.84130062906
3. Zeile und 36.Spalte, Wert:31840.04454325662
3. Zeile und 37.Spalte, Wert:32324.490488088068
3. Zeile und 38.Spalte, Wert:32234.294469707416
3. Zeile und 39.Spalte, Wert:32234.975022250743
3. Zeile und 40.Spalte, Wert:32007.04770942635
3. Zeile und 41.Spalte, Wert:31741.466509808124
3. Zeile und 42.Spalte, Wert:31860.566966402497
3. Zeile und 43.Spalte, Wert:32264.4390817825
3. Zeile und 44.Spalte, Wert:31937.43722316022
3. Zeile und 45.Spalte, Wert:32193.42691307031
3. Zeile und 46.Spalte, Wert:31530.031063013714
3. Zeile und 47.Spalte, Wert:31934.97289424125
3. Zeile und 48.Spalte, Wert:31892.50793111313
